SALARY,HOURLY RATE,TITLE,DEPARTMENT
"$30,030.35 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC WORKS
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$9.26 ,SCHOOL CROSSING GUARD (T),POLICE
"$35,700.91 ",,EQUIPMENT OPERATOR I,PUBLIC UTILITIES
"$30,766.53 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$18.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$28,138.03 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$64,262.52 ",,FIRE CAPTAIN,FIRE
"$62,865.18 ",,COMMUNITY SPECIALIST,COMMUNITY SERVICES
"$24,086.30 ",,STAFF SUPPORT SPECIALIST,PUBLIC WORKS
,$22.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$64,167.61 ",,FIRE CAPTAIN,FIRE
"$36,668.53 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,881.65 ",,TREE PLANTING COORDINATOR,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$45,725.68 ",,PLANT EQUIPMENT MECHANIC,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$50.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$23,911.47 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
,$35.00 ,OFFICIALS,PARK AND RECREATION
"$47,799.23 ",,RTN ACCESS MANAGER,PUBLIC AFFAIRS
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$25,429.25 ",,SERVICE WORKER,PUBLIC UTILITIES
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$61,839.52 ",,SENIOR POLICE OFFICER,POLICE
"$32,960.93 ",,MAINTENANCE WORKER I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$45,841.95 ",,WATER & SEWER SUPERVISOR II,PUBLIC UTILITIES
"$56,160.07 ",,PROJECT ENGINEER I,PUBLIC WORKS
"$24,207.61 ",,SENIOR ACCOUNTING ASSISTANT,FINANCE
"$26,573.22 ",,ACCCOUNTING ASSISTANT,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$52,630.25 ",,POLICE DETECTIVE I,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$50,599.33 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$14.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$20,609.68 ",,SERVICE WORKER,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.71 ,CL. ASSISTANT IV (T),FIRE
"$61,157.67 ",,PLANNER II,PLANNING
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$65,530.82 ",,CIVIL ENGINEER,PUBLIC WORKS
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$33,855.28 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$65.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$50,240.32 ",,TRAFFIC SIGNAL TECHNICIAN,PUBLIC WORKS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
"$51,384.32 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$33,937.90 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$37,200.18 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$25,247.75 ",,STAFF SUPPORT SPECIALIST,PARK AND RECREATION
"$35,960.09 ",,STAFF SUPPORT SPECIALIST,SOLID WASTE SERVICES
"$53,723.67 ",,FIRE LIEUTENANT,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$51,527.58 ",,SENIOR BUILDING PLANS EXAMINER,INSPECTIONS
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$43,785.75 ",,ACCOUNTANT/AUDITOR II,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$55,624.21 ",,FIRE LIEUTENANT,FIRE
,$16.00 ,STAGE TECHNICIAN V (T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$62,549.17 ",,FIRE CAPTAIN,FIRE
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$10.50 ,PROGRAM SPECIALIST VI-B (T),PARK AND RECREATION
"$71,198.41 ",,STAFF ANALYST,FIRE
"$30,285.05 ",,FIREFIGHTER,FIRE
"$32,304.58 ",,FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$35,169.21 ",,PLANNER I,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$65,142.39 ",,POLICE LIEUTENANT,POLICE
"$38,246.21 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$10.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$54,075.57 ",,FIRE LT/HAZMAT TECH,FIRE
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$23,626.88 ",,SURVEY TECHNICIAN,PUBLIC WORKS
"$50,137.43 ",,MASTER POLICE OFFICER,POLICE
"$32,839.26 ",,AQUATICS MAINTENANCE WORKER,PARK AND RECREATION
"$26,834.91 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$37,256.95 ",,ADMINISTRATIVE ASSISTANT,ADMINISTRATIVE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$62,851.42 ",,FIRE CAPTAIN,FIRE
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$64,574.91 ",,PROJECT ENGINEER I,PUBLIC WORKS
,$12.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$47,924.20 ",,FIRE LIEUTENANT,FIRE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$29,481.09 ",,MAINTENANCE WORKER II,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
"$35,667.52 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$33,191.56 ",,POLICE OFFICER,POLICE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$42,768.75 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$47,080.27 ",,MASTER POLICE OFFICER,POLICE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$62,732.56 ",,POLICE SERGEANT,POLICE
"$40,531.32 ",,CADD TECHNICIAN,PUBLIC WORKS
"$55,703.67 ",,VOLUNTEER SERVICES COORDINATOR,PARK AND RECREATION
"$98,702.76 ",,ASSISTANT DEVELOPMENT SVC MANAGER,GENERAL GOVERNMENT
"$33,193.89 ",,MAINTENANCE WORKER I,CONVENTION CENTER
,$25.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
,$6.25 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
"$39,877.26 ",,FIRST CLASS FIREFIGHTER,FIRE
,$9.71 ,SWS EQUIPMENT OPERATOR I,SOLID WASTE SERVICES
,$10.25 ,PROGRAM SPECIALIST VI-G (T),PARK AND RECREATION
"$33,204.29 ",,WATER & SEWER SUPERVISOR I,PUBLIC UTILITIES
"$46,678.11 ",,MAINTENANCE MECHANIC III,PARK AND RECREATION
"$55,631.13 ",,RECREATION PROGRAM MANAGER,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$51,987.28 ",,MASTER POLICE OFFICER,POLICE
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$29,418.27 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$32.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$59,601.58 ",,SENIOR POLICE OFFICER,POLICE
,$20.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$45,960.97 ",,MASTER POLICE OFFICER,POLICE
"$50,751.20 ",,SAFETY SPECIALIST,PERSONNEL
"$62,875.25 ",,ASSISTANT ATHLETIC PROGRAM DIRECTOR,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
"$62,793.01 ",,FIRE CAPTAIN,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$9.00 ,PROGRAM SPECIALIST V-A,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$37,075.17 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$53,992.41 ",,MASTER POLICE OFFICER,POLICE
"$61,503.85 ",,SENIOR ASSESSMENT SPECIALIST,PUBLIC WORKS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$10.00 ,EVENT SECURITY OFFICER I (T),CONVENTION CENTER
"$30,285.05 ",,FIREFIGHTER,FIRE
,$34.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$43,709.58 ",,MOBILITY SPECIALIST,PUBLIC WORKS
,$7.69 ,VIDEO PROGRAMMER II(T),PUBLIC AFFAIRS
"$57,725.41 ",,ASSISTANT HEAVY EQUIPMENT SUPERVISO,PUBLIC WORKS
,$16.00 ,OFFICIALS I(T),PARK AND RECREATION
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
"$48,748.29 ",,ACCOUNTING TECHNICIAN,FINANCE
"$48,511.93 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$15.00 ,STAGE TECHNICIAN IV (T),CONVENTION CENTER
"$32,166.61 ",,POLICE OFFICER,POLICE
"$32,166.61 ",,POLICE OFFICER,POLICE
"$32,797.13 ",,POLICE OFFICER,POLICE
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$25.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$56,471.25 ",,POLICE CORPORALS,POLICE
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$35.00 ,OFFICIALS,PARK AND RECREATION
"$47,715.11 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,779.54 ",,FIRST CLASS POLICE OFFICER,POLICE
"$38,861.89 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$65,601.48 ",,FIRE CAPTAIN,FIRE
"$63,570.78 ",,POLICE SERGEANT,POLICE
"$33,191.56 ",,POLICE OFFICER,POLICE
"$35,165.18 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
,$10.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$25.00 ,OFFICIALS,PARK AND RECREATION
"$45,720.75 ",,SENIOR BUILDING PLANS EXAMINER,FIRE
"$30,786.29 ",,SWS EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$25.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$23,046.40 ",,AUTOMOTIVE SERVICES TECHNICIAN,POLICE
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$66,995.07 ",,POLICE SERGEANT,POLICE
"$49,849.09 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$60,457.25 ",,BUILDING PLANS EXAMINER,INSPECTIONS
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
,$36.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$64,970.94 ",,POLICE DETECTIVE II,POLICE
"$40,114.22 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
,$14.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$47,349.48 ",,SENIOR PLANNER,PUBLIC WORKS
,$11.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$50,850.29 ",,MASTER POLICE OFFICER,POLICE
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$37,004.25 ",,FIRST CLASS FIREFIGHTER,FIRE
"$38,769.61 ",,RECREATION PROGRAM MANAGER,PARK AND RECREATION
"$38,769.61 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
"$57,708.56 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$30,285.05 ",,FIREFIGHTER,FIRE
"$69,917.05 ",,POLICE SERGEANT,POLICE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$52,000.10 ",,ACCOUNTANT/AUDITOR II,FINANCE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$36,837.63 ",,FIRE EQUIPMENT MECHANIC,FIRE
"$63,385.58 ",,POLICE CORPORALS,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PUBLIC UTILITIES
"$40,607.01 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
"$31,738.27 ",,STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
"$33,650.50 ",,ADMINISTRATIVE ASSISTANT,FINANCE
,$9.41 ,CUSTODIAL WORKER,SOLID WASTE SERVICES
,$10.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
"$67,809.99 ",,PU CONSTRUCTION PROJECTS ADMINISTRA,PUBLIC UTILITIES
"$22,880.00 ",,EQUIPMENT OPERATOR I,PUBLIC WORKS
"$33,349.47 ",,FIREFIGHTER,FIRE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$15.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$32,457.57 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$46,357.17 ",,PLANT OPERATIONS SUPERVISOR,PUBLIC UTILITIES
"$26,181.17 ",,LEAD SERVICE WORKER,PARK AND RECREATION
,$7.44 ,PARK MAINTENANCE WORKER (T),PARK AND RECREATION
"$26,326.35 ",,METER READER,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$49,678.51 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$43,353.93 ",,SENIOR STAFF ANALYST,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$41,015.10 ",,LEAD SERVICE WORKER,PUBLIC WORKS
"$76,230.57 ",,BATTALION FIRE CHIEF,FIRE
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$56,316.91 ",,FIRE LIEUTENANT,FIRE
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$69,917.05 ",,POLICE SERGEANT,POLICE
"$36,923.46 ",,CODE ENFORCEMENT INSPECTOR (II),INSPECTIONS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$61,624.14 ",,FIRE INSPECTOR III,FIRE
"$67,145.46 ",,FIRE CAPTAIN,FIRE
"$67,233.94 ",,FIRE CAPTAIN,FIRE
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
,$13.00 ,GIS SPECIALIST (T),INFORMATION TECHNOLOGY
"$49,264.59 ",,HORTICULTURIST,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$51,990.02 ",,BUYER III,FINANCE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$55,065.71 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$34,462.14 ",,GIS TECHNICIAN,INFORMATION TECHNOLOGY
"$62,448.86 ",,POLICE DETECTIVE I,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$74,741.50 ",,BATTALION FIRE CHIEF,FIRE
,$9.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$30,285.05 ",,FIREFIGHTER,FIRE
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$32.00 ,OFFICIALS,PARK AND RECREATION
"$51,525.76 ",,TELECOMMUNICATIONS SUPERVISOR,EMERGENCY COMMUNICATION
"$29,120.00 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$34,247.52 ",,POLICE OFFICER,POLICE
"$43,709.74 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$24,991.20 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
,$10.00 ,PROJECT ANALYST(T),PUBLIC WORKS
"$63,473.74 ",,FIRE CAPTAIN,FIRE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$32,304.58 ",,FIREFIGHTER,FIRE
"$68,717.38 ",,POLICE SERGEANT,POLICE
"$58,520.28 ",,SENIOR POLICE OFFICER,POLICE
"$46,516.36 ",,MASTER POLICE OFFICER,POLICE
"$83,853.78 ",,DIVISION FIRE CHIEF,FIRE
,$11.25 ,PROGRAM SPECIALIST VI-E (T),PARK AND RECREATION
,$6.40 ,YOUTH EMPL PARTICIPANT II(T),COMMUNITY SERVICES
,$25.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,632.67 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$37,004.25 ",,FIRST CLASS FIREFIGHTER,FIRE
"$69,319.83 ",,ASSISTANT RECREATION SUPERINTENDENT,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$70,146.18 ",,FIRE PROTECTION INSPECTOR SUPERVISO,FIRE
"$32,958.15 ",,FIREFIGHTER,FIRE
,$8.89 ,SENIOR STAFF SUPPORT SPECIALIST,PARK AND RECREATION
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
"$41,135.33 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$30,765.90 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$31,971.89 ",,WATER & SEWER SUPERVISOR II,PUBLIC UTILITIES
,$20.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
,$6.15 ,YOUTH EMPL PARTICIPANT I(T),COMMUNITY SERVICES
"$23,987.37 ",,STAFF SUPPORT SPECIALIST,SOLID WASTE SERVICES
"$21,639.90 ",,SERVICE WORKER,PARK AND RECREATION
"$108,041.28 ",,COMMUNITY SERVICES DIRECTOR,COMMUNITY SERVICES
"$31,376.59 ",,MAINTENANCE WORKER I,CONVENTION CENTER
"$52,331.97 ",,ADMINISTRATIVE ASSISTANT,PUBLIC UTILITIES
"$49,180.77 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$51,205.02 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$41,628.29 ",,CONCRETE MASON,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$78,318.21 ",,PROJECT ENGINEER II,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$56,811.92 ",,FINANCIAL SYSTEMS ADMINISTRATOR,FINANCE
"$43,709.58 ",,ADMINISTRATIVE SUPPORT SPECIALIST,FIRE
"$32,304.58 ",,FIREFIGHTER,FIRE
"$76,333.64 ",,DATABASE SUPERVISOR,INFORMATION TECHNOLOGY
"$43,063.70 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
"$42,067.56 ",,AQ. TRAINING & DEVELOPMENT SPECIALI,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$22,991.75 ",,STAFF SUPPORT SPECIALIST,PUBLIC UTILITIES
"$32,732.96 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$27,946.67 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$63,283.29 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$29,960.53 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
"$60,925.74 ",,SENIOR POLICE OFFICER,POLICE
"$56,186.86 ",,HOUSING INSPECTOR (I),INSPECTIONS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$51,465.09 ",,MASTER POLICE OFFICER,POLICE
"$32,166.61 ",,POLICE OFFICER,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
,$15.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$34,247.52 ",,POLICE OFFICER,POLICE
"$30,377.15 ",,PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
,$18.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$39,315.39 ",,FIRST CLASS FF HAZMAT/TECH,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$9.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$34,999.95 ",,ENGINEERING INSPECTOR,PUBLIC WORKS
"$30,345.74 ",,CUSTODIAL WORKER,PARK AND RECREATION
"$34,893.35 ",,STAFF SUPPORT SPECIALIST,POLICE
"$31,205.20 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$37,931.16 ",,FIRST CLASS FF HAZMAT/TECH,FIRE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$34,519.21 ",,POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$68,883.58 ",,POLICE SERGEANT,POLICE
"$11,999.73 ",,MAYOR PRO-TEM,GENERAL GOVERNMENT
"$46,743.81 ",,SENIOR FIREFIGHTER,FIRE
"$22,616.46 ",,SERVICE WORKER,PUBLIC UTILITIES
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$90,662.71 ",,IT MANAGER,INFORMATION TECHNOLOGY
